Artist Name	Organization	Country	Media / General	Medium of Work	Product Image	Years Attended	Booth #	Longitude	Latitude	Artist Image	Artist Bio 1
Ghulam Sarwar, Irfan Abdul Aziz	Tribal Truck Art	Pakistan	Other (Metalwork)	Tribal truck art/steel art		2008, 2015	52				Ghulam Sarwar always admired the brightly colored flamboyant trucks painted with images of idealized landscapes, famous personalities, flowers and trees that reminded truck drivers of their homes on their long journeys down south.  He and other truck artists have imaginatively adapted this traditional art form to include smaller household items painted in the style of truck art.  These objects are used in homes and street side cafés.  Ghulam and others take on apprentices to teach them the visual language of truck art motifs to keep this threatened art form alive. Ghulam Sarwar, together with fellow truck artists, were recipients of the UNESCO Award of Excellence in 2008.
Hamdi Natsheh, Tawfiq Natsheh, Hamzeh Natsheh		Palestinian Territories	Glasswork	Handblown Hebron Glass		2009, 2011, 2012, 2013, 2015	53				At the age of seven, Hamdi began learning glass blowing from his father. Now he continues to blow glass alongside his family for their store, Hebron Glass. The pieces created by Hamdi and his family are made using techniques characteristic of the region over hundreds of years. The works embody the old stories of Palestine and represent unique shapes and patterns. A centuries-old part of Palestinian heritage, hand-blown glass adorns both homes and religious sites, and is shaped into adornments worn at celebrations.
UNRWA Sulafa Embroidery Centre		Palestinian Territories	Textiles	Embroidered clothing, accessories and pillow covers		2009, 2010, 2012, 2013, 2014, 2015	16				The Sulafa Embroidery Centre provides incoming-generating opportunities for hundreds of refugee women through promotion and sales of traditional Palestinian embroidery. Girls learn to embroider during childhood and are taught by their mothers and other women in their families. These textiles are filled with traditional Palestinian motifs and patterns, including cypress trees, flowers, tents, and The Hajem, the symbol offering protection from the evil eye. The Centre is a self-supporting program, helping preserve valuable traditions and increase family incomes.
Pocabia Etacore, Celestina Etacore	La Organizacion Payipie IchadieTotobiegosode	Paraguay	Textiles	Utebetade traditional woven bags made of wild bromeliad fibers		2015	14				Pocabia’s woven Ayoreo bags are made from culturally significant plant materials and are used in nearly every aspect of everyday life.  She uses unique traditional dyes and clans designs and patterns. Because of their symbolic meaning and utilitarian uses, these bags are considered the most important possession of the Ayoreo people. Made by hand, the bags are also a collective activity for the weavers, who gather the leaves in groups and collaborate at each stage of the process. Knowledge of traditional plant dyes and other cultural information is passed down from the elders.   La Organizacion Payipie IchadieTotobiegosode is focused on turning the art form into a viable source of income and empowering the weavers to continue the tradition.
Bernardo Pedro González Paucar and Marcelino Javier Gonzales		Peru	Sculpture	Polychrome sculptures crafted from Maguey wood		2004, 2005, 2006, 2008, 2009, 2010, 2011, 2012, 2013, 2015	15				Pedro and Marcelino comes from a long tradition of “imaginería” makers. Imaginería – the making of crosses, retablos and mixed figures – has had its roots in the Huancayo region of the Peruvian central highlands since the mid-sixteenth century. Their father, uncles and grandfather were their teachers. At a young age, they were able to model, carve and use a brush. Maguey, a soft wood, is the primary material used to make their sculptures. Other materials include plaster and cloth as well as ochre and shade rust pigments. Many of their pieces contribute to the life of the community. The mixed figures are used as decorations, as well as saints  and other imagery important to the people of Huancayo.
Delia Garcia Inga		Peru	Carving (gourd)	Bulgaris gourd carvings		2015	56				Delia’s embellished dried gourds represent the traditions, beliefs, and daily life of the Andean communities. She carves, etches, and burns designs of local brds, animals, and village scenes, using numerous techniques to achieve contrast and different colors. Each piece represents her experience, and is a way for her to keep tradition alive and share her life and customs. She is known as in innovator of the art, and also uses larger gourds to tell the stories and chronicles of her people.
Hilda Valeriana Cachi Yupanqui and Sonia Cachi Yupanqui		Peru	Jewelry	Silver jewelry with Inca and Spanish colonial designs		2012, 2013, 2014, 2015	44				Hilda is one of seven sisters who actively preserve silver working traditions passed on to them by their father, Gregorio. Archeological excavations show that some of the forms still made today, such as shawl pins, date back nearly 2,500 years. Hilda, who first aspired to become an economist, brings an entrepreneurial vision to her work, introducing new techniques that result in higher-quality work and greater productivity while still maintaining traditional designs. Her work, which fuses modernity with tradition, is represented in the Smithsonian Institution’s collection. UNESCO Award of Excellence Winner (Hilda Valeriana Cachi Yupanqui)
Lider Rivera Matos		Peru	(Jewelry, Other)	Horn jewelry and accessories 		2012, 2013, 2014, 2015	3				Lider is a Master Horner having learned this skill while incarcerated for 17 years because of his political ideologies. It is a common practice in the prisons of Peru for the inmates to make and sell their crafts as a means of supporting their families. His attention to detail and ability to mold and shape this seemingly inflexible material into impossibly curvy and delicate forms set his work apart. The raw material, a waste product of the meat industry in Peru, is completely recycled and sustainable. Lider’s early release from prison was made possible, as a result of, the money he earned at The Folk Art Market. He was able to show proof of income and pay the civil reparations necessary for the government to grant him a full pardon.
Nilda Callañaupa Álvarez	Centro de Textiles Tradicionales del Cusco (CTTC)	Peru	Textiles	Handspun, natural-dye alpaca and wool textiles woven on backstrap looms		2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015	29				Founder and director of CTTC, Nilda began spinning wool from sheep and alpaca at the age of six, and was weaving her first patterns by age seven. CTTC weavers, such as Nilda and Lidia, are remarkable in the quality of the textiles that they produce as well as their emphasis on traditional designs and techniques. The CTTC works with over 600 weavers. The work of the Center is not just to preserve and to study Peruvian textiles, their symbolism and significance, but also to assist families to create a larger market for their textiles and a new economy for their communities. 
Saturnino Oncebay Pariona		Peru	Textiles	Handwoven alpaca, cotton and sheepswool tapestries and shawls		2015	4				Saturnino’s family of weavers has been practicing the art for over 100 years. The designs of his textiles range from zigzags and animals to documentary pieces that tell the stories of the Ayacucho people. By utilizing ancient dyeing techniques, he is able to achieve the bright colors found in textiles of the past.   For years Saturnino has studied old textiles, learning their designs and revitalizing disappearing techniques. When he created his first piece at age eight, his father threw it into a river as an offering so that his hands would always flow like water when he was weaving.
Victor Huáman Gutiérrez		Peru	Mixed media	Small Retablos and individual figures		2015	7				After seeing his first retablo at the age of nine, Victor has dedicated himself to this traditional art form. His themes include regional festivals and cultural moments in the native Quechua villages in the central highlands of Peru. Victor  does all the work manually from crafting the  boxes to shaping the figures by hand using a traditional mixture of flour, gypsum and water;  he even makes the paint  brushes from his own hair or that of the dog, burro or cat. Victor has won several national prizes in Peru and his work appears in various Museums in Lima. He lives with his elderly parents, who taught him this art, and supports them with his earnings from his work as a retablista.
Vilma Oncebay Pariona		Peru	Textiles	Embroidered bags, scarves and shawls with Andean motifs		2015	4				Vilma works alongside her family, creating traditional embroidery and weavings. Her beautiful and skillfully embroidered designs feature traditional Andean motifs. Through studying old textiles, she taught herself ancient techniques and brought to life designs that were nearly lost. Each piece requires intricate detail, and Vilma often uses cactus needles to embroider the trim. Her family works together, each playing a role from dyeing the yarn to deciding patterns. Her textiles, inspired by the region’s Wari Culture (600-1080 AD), have earned her invitations to national and international events.
Anna India Dela Cruz-Legaspi	CustomMade Crafts Center, Inc. (CMCC)	Philippines	Textiles	Pina weaving - handwoven pineapple fibers		2015	143				Anna India founded Heritage Arts and Crafts which specializes in piña handwoven textiles. The leaves of the Spanish Red Pineapple plant are harvested, then the fibers are extracted and colored using natural dyes. Woven using an upright loom, the end product is a delicate dreamy cloth that is translucent, soft and fine with a high luster.  Pina weaving began during the Spanish colonial period when colonizers introduced the Red Spanish Pineapple to the Phiippines and it’s beauty has been reputed as “elite wear.” Anna India’s advocacy of piña weaving is instrumental in its revival and growth as an industry in Aklan. The piña fabric bears the Philippine Department of Trade and Industry’s seal of quality and CMCC also ensures quality assurance by monitoring the quality standards of these products. 
Bernadeth Ofong	CustomMade Crafts Center, Inc. (CMCC)	Philippines	Textiles	T'nalak tapestries, abaca textile		2015	143				Bernadeth is a T’boli weaver, who uses the ikat resist-dye technique on a back-strap loom to create beautifully intricate T’nalak tapestries. The T’nalak designs are like family heirlooms passed on from mother to daughter. These “woven dreams” are inspired by the spirit of the abaca revealing patterns laid out on a loom to the weaver in her dreams.  The sturdy natural fabric is made of the abaca fiber of wild banana plants. Depending on the intricacy of the patterns, these tapestries can take weeks to months to complete. CMCC supports Bernadeth’s organization, KLOWIL, which has 20 active weavers. These organizations are working together towards the sustainable consumption and production of handwoven eco-textile products.
Kalinga, Pala’wan and Yakan Tribes 	CustomMade Crafts Center, Inc. (CMCC) 	Philippines	Basketry, Textiles	Rattan baskets of the Pala'wan tribe, Backstrap loom weaving of the Kalinga and Yakan tribes		2014, 2015	143				CustomMade Crafts Center Inc. (CMCC) is a non-profit organization that promotes diverse and unique cultures of indigenous people through training and skill development, while encouraging sustainable forest preservation practices using non-timber forest products. By “customizing” crafts for the marketplace, artists are able to maintain economic viability. This year’s representation includes the following: Kalinga weavers of Northern Luzon use backstrap looms to weave intricate designs that reflect their culture and natural environment, a tradition that is passed on from generation to generation. These textiles are adorned with shells and mother-of-pearl platelets that represent symbols of wealth and prestige in a land-locked region. The Yakan tribe of Basilan and Zamboanga use backstrap looms to create garments and textiles used for religious and ritual functions, as well as for daily personal use. The Yakan designs are vibrantly colored geometric, near-symmetrical shapes representing snakes, rice grains, dragons, mountains and flowers inspired by nature. The Pala’wan tribe of Southern Palawan province weave traditional rattan baskets known as “tingkep,” made out of bamboo, palm and rattan. The baskets are both practical and spiritual, with designs that reflect the forest trees and animals. 
Myla Abalang Carcasona	CustomMade Crafts Center, Inc. (CMCC)	Philippines	Textiles, Basketry	Abaca fiber textile weaving		2014, 2015	143				Myla learned the skill of Hinabol weaving from her mother. With the income from her art, she is able to provide for the nutritional and educational needs of her children. The designs and techniques have been handed down through generations, but each weaver puts her own personality and creativity into each piece she weaves. Within their community, Myla and her mother are the only weavers that have mastered the skill of natural dyeing. CMCC addresses the emerging needs of forest-dependent communities within the context of sustainable forest management.
Ruth Abimana	Gahaya Links Cooperatives 	Rwanda 	Basketry	Sisal baskets		2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015	80				Ruth represents Gahaya Links Cooperatives. After the 1994 Rwandan genocide, 70% of Rwanda’s population consisted of widows with little means of support. In 2002, a visit by the director of the United Nations Development Fund for Women (UNIFEM) resulted in international recognition for the beautiful traditional sisal baskets made by both Hutu and Tutsi women, which have become known as “peace baskets.” Weavers from both sides of the conflict organized weaving groups in an effort to rebuild their lives, together. Janet Nkubana, who learned to weave from her mother, is co-founder of a weaving association that has built a training center in Kigali.
Angeline Masuku		South Africa	Basketry	Ilala Palm Baskets		2007, 2010, 2011, 2014, 2015	138 A				Angeline weaves traditional ilala palm baskets that are used for daily life as well as for decoration. She learned to weave from her aunt and now supports her family with the art. Passing her weaving skills onto her younger sister and daughter, she has also taught many women in her village, helping them find a path out of poverty. Gathering the ilala palm, Angeline then uses leaves and roots to create natural dyes and weaves the materials in traditional shapes. She designs her baskets to incorporate imagery of her immediate environment, as well as the geometric designs from Zulu beadwork. Supported by Department of Trade and Industry, South Africa.
Beauty Bathembile Ngxongo		South Africa	Basketry	Zulu water baskets		2011, 2012, 2013, 2015	138 B				Beauty lives in the Empembeni district of Hlabisa and is a Zulu master basket weaver. Her work is in all major South African museums, including the South African National Gallery, Cape Town, and has also been collected by the Metropolitan Museum of Art in New York and the Smithsonian. Beauty uses native grasses and palm leaves to make her baskets. Her dyes are derived from fruits, leaves, bark and roots. Color thread changes produce the designs which are derived from beading traditions. Beauty’s signature basket is the Isichumo, the water vessel. Supported by Department of Trade and Industry, South Africa.
Jabulile Nala		South Africa	Ceramics	Wood-fired red clay, Zulu pottery		2010, 2011, 2013, 2015	76				Supported by Department of Trade and Industry, South Africa Descending from a famous line of potters, Jabulile was taught by her mother, renowned potter Nesta Nala, and her grandmother Simphiwe. Zulu beer pots, a customary part of Zulu weddings, births, marriages and burials, symbolize hospitality and communality. In the traditional manner, Jabulile hand-digs clay near her home, and coils, burnishes, fires, and rubs her pots with animal fat. Her family is also known for infusing their work with a contemporary spirit, creating larger and more elaborate forms, for which Jabulile is becoming nationally and internationally known. Supported by Department of Trade and Industry, South Africa.
Lulama Sihlabeni	eKhaya eKasi Art and Education Centre	South Africa	Sculpture	Glass bead and wire sculptures		2013, 2014, 2015	10				Lulama represents the eKhaya eKasi Art & Education Centre. The Centre is located in the township of Khayelitsha and works to benefit the community through a diverse array of programs that target illiteracy, unemployment, poverty, the AIDS epidemic, and lack of social services. Most of the members of the Centre are originally from rural provinces and learned the art of beadwork and wire art as they were growing up in their villages, working alongside their grandparents and elders. They now train their children, teaching history and tradition through their work. Their income-generating and functional art features tribal patterns, native wildlife, and social issues.
Nomvuselelo LadyPeace Mavundla		South Africa	Basketry	Telephone wire baskets and bowls		2008, 2012, 2015	68 A				As one of the members of the BAT Shop telephone wire project in Siyanda, KwaZulu-Natal, Nomvuselelo learned to weave telephone wire baskets. She started weaving baskets on weekends and school holidays to pay for her school expenses. After completion of Grade 12, she began weaving full-time. With her husband Simon, she creates patterns with bright colors and complex patterning. Supported by Department of Trade and Industry, South Africa.
Phathisiwe Ngcobo, Tholani Mchunu	Durban African Art Centre Association	South Africa	Beadwork	Beaded Zulu jewelry and animal sculptures		(Organization) 2013, 2014, 2015	84				The Durban African Art Centre Association will represent the beadwork of Phathisiwe Ngcobo and Tholani Mchunu. The beaded animal sculptures depict African wildlife and the beaded jewelry represents geometric Zulu patterns and designs. In Zulu culture, animals are an important treasured possessions. Beaded jewelry was traditionally made for traditional ceremonies and ancestral offerings, and continue to be collected by the Zulu community.  The Durban African Art Centre employs Zulu artists from the rural townships surrounding the urban center. Many artists are able to lead dignified lives through the sale of their art. The Durban African Art Centre is founded on the belief that folk art has the potential to promote healing, encourage positive thinking, and social change. Supported by Department of Trade and Industry, South Africa.
Xolile Hazel Thembeka Ndlovu		South Africa	Textiles	Embroidered, beaded and appliqued narrative textiles		2010, 2012, 2014, 2015	68 B				Thembeka was first introduced to embroidery during the 2004 Ntokozo development project at the African Art Centre in Durban. Seven women, all single mothers living in KwaZulu-Natal, were taught to tell happy stories from their lives through art with appliqué, embroidery, and bead embellishment. Thembeka’s narrative panels, bags, and cushion covers detail her personal stories and provide commentary on the changing Zulu customs and mores in contemporary life. Each embroidery is accompanied by a short paragraph that further explains its meaning. She instructs other women in her community and uses her work to teach about traditional Zulu culture. Supported by Department of Trade and Industry, South Africa.
Sunghee Kim	Dyetree 	South Korea	Textiles	Natural dye Korean patchwork screens, silk scarves, padded clothing		2013, 2014, 2015	67				Sunghee creates traditional Korean free-form geometric patchwork screens out of leftover pieces of fabric. Dyetree members create these and other naturally dyed silk and cotton textiles for decorative use and clothing, teaching each other new skills. They also reach out to local villages to encourage the use of natural dyes and techniques. The colors expressed by the dyer not only represent the conventions of the time, but also secret recipes and experiences, passed down through generations. Sunghee has earned three degrees in textile studies and has published a book on the colors of classic textiles, sharing her knowledge with a wide audience.
Artists of the ROOTS Project	ROOTS os South Sudan on behalf of ROOTS Project, Juba, South Sudan	South Sudan	Beadwork	Beaded jewelry and clothing worn by women and men of South Sudan		2012, 2013, 2014, 2015	119				South Sudan, after decades of war, became the world’s newest nation in 2011.The Roots Project employs over 60 recently demobilized women from 16 different tribal groups, selling and marketing their traditional arts. Founder and human rights activist Anyieth D’Awol believed that South Sudan’s unique cultural history should be preserved to help forge a cohesive national identity. The Roots Project promotes peace-building and teaches traditional arts. Through the organization, men and women from different tribes are able to collaborate to share their skills and techniques. The Roots Project creates a safe and secure work environment for members, as well as provides a venue for exhibitions, demonstrations, and cultural gatherings.
Luis Méndez López		Spain	Jewelry	Charra filigree gold and silver jewelry of Salamanca		2010, 2011, 2012, 2013, 2014, 2015	127				Luis began working at his father’s filigree jewelry workshop in Tamames, Salamanca, when he was 14. He and his brothers now represent the third generation of goldsmiths in their family and were all trained by their father. A traditional goldsmith technique introduced by Greek and Phoenician settlers in Spain and Portugal, filigree is similar to textile embroidery, employing gold and silver threads that are smoothed or twisted, and sometimes, worked over a metal sheet. Luis is known for the incredible detail in his work and for his dedication to the art.
Thembi Dlamini	Tintsaba Master Weavers	Swaziland	Basketry	Swazi woven sisal baskets		2009, 2010, 2011, 2012, 2013, 2014, 2015	114				Thembi Dlamini is a master weaver who will bring her own baskets as well as represent the work of Tintsaba’s other basket weavers. She is known for her baskets’ unique patterns and symmetry. Basket making goes back hundreds of years among the Swazi and is part of the Swazi homestead tradition. Over the last 50 years, baskets have evolved with the addition of bright colors. The art form is passed down from mother to daughter and the skills taught include hand cleaning and spinning of the sisal. The spinning into thread often takes as long as the basket weaving itself – 30 to 40 hours.
Ya-Lei Chiang		Taiwan	Jewelry, beadwork	Handmade glass bead necklaces and bracelets		2014, 2015	28				Ya-Lei Chiang is a Paiwan indigenous bead artist. For over 25 years, she and her husband Omass have dedicated themselves to the revival of traditional glass bead making and embroideries. These beads are used for rituals, gifts, and weddings, and each bead represents family background, gender, character, and social status. They are worn as jewelry and to decorate traditional costumes. Each bead is handmade by rolling, mixing cutting, and firing a mixture of glass and metal elements. Virtually a lost art, Ya-Lei and Omass spend years researching and experimenting until they were able to recreate and produce these unique glass beads.
Yeuh-Mei Lan		Taiwan	Textiles	Handmade natural linen thread loom woven tapestries, home accessories and bags		2015	27				Yueh-Mei’s textiles are deeply attached to the lifestyle of the Truku people. Taught by the masters from surrounding villages, she uses imitation and innovation to create new designs. Yueh-Mei enjoys the challenge of difficult patterns, such as zigzags and diamonds. She grows her own linen to use as handmade thread and then dyes it with colors inspired by the mountain areas surrounding her. She is working to improve her art and become a master weaver like her grandmother. Afraid that the Truku textile tradition would disappear, Yueh-Mei broke social taboos and taught her son how to weave. Together they are creating a new chapter of Truku weaving in contemporary society.
Nongnuch Manatsawiphavee (Su Di Mo) 	Terres Karens	Thailand	Textiles	Traditional Karen weaving - apparel, blankets and bags		2015	81				Su Di Mo weaves traditional textiles of the Karen peoples and has mastered the complicated patterns of the art form. She learned to weave as a young girl and now helps to support her family.   Her loom consists of bamboo sticks of different sizes depending on the pattern to be woven. For complicated designs, the loom may require up to 25 sticks to be added. Su Di Mo learned to weave from her mother, and she looks forward to teaching her young daughter the tradition. Terres Karens aims to support social projects benefitting the Karen peoples.  By setting up the weaving cooperative, they help village families earn additional income while reserving their traditional weaving knowledge.
Maria Goreti Ut and Jacky Ximenes	Kor Timor	Timor-Leste	Textiles	Timorese woven textile clothing, scarves and boxes		2015	20				Maria and Jacky’s handwoven textiles are part of a centuries-old tradition, used for ceremonies and celebrations, as well as in everyday life. The motifs in her work represent family lines and village identities as well as symbols of Timorese culture. Timorese textiles are made with organically grown cottons, hand spun and hand dyed using natural colors and woven on a back-strap loom. Each village has a master weaver who is responsible for carrying on the tradition and teaching the art.  With a mission to create jobs for unemployed women and vulnerable youth, Kor Timor supports Timorese culture through promoting cultural heritage and interest in weaving for the next generation.
Tribal Home	Museum of New Mexico Foundation	Turkey	Ceramic	Cini pottery from Lak Iznak		2014, 2015	42				Cini ceramics are highly decorated pieces, using styles, colors, and designs that date back centuries and are passed down through generations with a strict adherence to tradition. The art began in the 8th and 9th centuries, as artists were inspired by Chinese and Persian porcelain coming along the Silk Route and began to create their own pieces. Unable to make porcelain, Turkish potters created “fritware,” a special combination of ground glass and clay, which requires lower firing temperatures than clay. Traditionally, men are potters and women are responsible for painting the raised decorative patterns. Tribal Home, a family-owned business, employs traditional potters in Turkey.
Pokuttya Folk Art		Ukraine	Several	Handwoven home accessories, carpets, embroidered clothing and Pysankas wax-resist decorated eggs		2011, 2012, 2013, 2014, 2015	106				Lesia Pona, Olga Pona, Nataliya Tereshchak, Katerina Tereshchak, and Valentina Zamulinska represent Pokuttya Folk Art. Lesia’s weavings and embroidery are filled with geometrical forms, such as the diamond, rosette, and variations of the cross. Lesia embroiders using several techniques, including merezshka, which creates a lace-effect, and nyzynka, done mostly on the fabric’s reverse side to produce the effect of tweed. Lesia learned to embroider from her mother and later studied with one of the Ukraine’s most renowned embroidery artists. Lesia also makes Pysankas, wax-resist decorated eggs, which are traditional during Holy Week for Easter. The pysak is the stylus with which intricate patterns are drawn using beeswax in a process that involves the layering of colors.
Roksolana Skilska (Stefanyshyn)		Ukraine	Woodwork	Carved wooden boxes, decorative plates and home accessories		2014, 2015	94				Roksolana gathers wood from nearby forests and works alongside her father, carving wooden boxes, kitchen utensils, and objects for daily life. She has carefully studied the work of her grandfather and other masters, trying to best capture and replicate the older styles of painting and carving, using the knowledge and history to develop her own skills. Using the numerous knives, tools, and chisels that her ancestors did, Roksolana shies away from modern machinery. Each piece has carved details and painted symbols of the Hutsul people, while still allowing the naturally rich colors and tints of the timber to be on display.
Ana Maria de Prado Peironi	Manos de Uruguay	Uruguay	Textiles	Hand loom woven wool ponchos, shawls, scarves		2015	117				Ana weaves traditional gaucho garments and home decoration items from uniquely hand-dyed Uruguayan wool. Her work is known for its smooth and faded colors with numerous tones made from natural dyes. Often using 100% wool, her textiles have richness in texture. Weaving constitutes the essence of the country, culture and tradition are reflected in each piece.   Manos del Uruguay is a nonprofit organization that promotes the Uruguayan identity and helps provide economic, social, and cultural opportunities for over 200 women artists. They have helped improve dyeing techniques and have now generated a color range of over 100 colors.
Carlos Alberto Clavelli Fernandez	National Direction of Handicrafts/DINAPYME 	Uruguay	Several	Carved and polished wood, wool and leather, decorative crafts 		2014, 2015	135				Carlos’ wooden puzzles and figures represent iconic rural and urban scenes from his native Uruguay. Working with his wife, Rocio Garcia, Carlos crafts his original pieces as he learned in his father’s workshop in Montevideo, with skill and careful finishing, but with unique charm that entertains and delights young and old alike. He is teaching his special techniques to his students, apprentices, and daughters, continuing the tradition.
José Andres Acuña	DINAPYME	Uruguay	Leatherwork	Raw cowhide leather crafts & tools		2015	134				For many generations, José Andrés and others of his extended family have practiced the Uruguayan art of guasquería, making horse gear from cowhide. Following a tradition among South American cowboys, José’s grandfather’s uncle, father, and other relatives taught him at an early age. He became an expert in the techniques of preparing cowhide, cutting the leather into strips, braiding it, and making rawhide belts, reins, bridles, straps, látigos, stirrups, and other equipment for use on their cattle ranches. His work is distinguished not only by its beauty, but also by its strength.   As there are now few who practice this craft, José Andres  teaches his leather-working skills and techniques to apprentices and other young people in hopes of perpetuating the tradition.
Abror Kudratov		Uzbekistan	Wood Carving	Wood carvings, bookstands, chess boxes and other decorative items		2015	37				Abror collects the timber of old trees and using only hand tools, creates elaborate designs on wood boxes, chests, and doors. Each piece features a unique design and is carved in a centuries-old style.   Abror started learning woodcarving from his grandfather when he was nine years old.  Later he attended art school in Tashkent and is now a master carver with his own shop. His intricately carved columns are used in homes and public buildings.
Abubakr Bekmuhamedov		Uzbekistan	Textiles	Traditional clothing - Dresses and costumes		2015	2				Abubakr comes from a family of clothing artists in the ancient Silk Road city of Samarkand. He uses traditional tools to create unique styles of decoration, achieving bright colors and intricate patterns. His ikat-dyed and handwoven fabrics often have hand quilting and embroidered embellishments. Abubakr studies at an institute devoted to reviving the traditional arts of Uzbekistan. Abubakr has exhibited his garments in Russia, Kazakstan, Kyrgystan, and Israel. Use of traditional clothing is experiencing a revival in Uzbekistan, particularly for attending auspicious family events.
Bakhtiyor Kasimov		Uzbekistan	Woodwork/Metalwork	Wooden chests and boxes decorated with metal		2015	75				Bakhtiyor is a third generation chest maker, beginning the art at the age of 10. Bakhtiyor’s chests are created in the traditional way, using pine for the box and then coating it with zinc.  A pattern is transferred onto the zinc and then the chest is elaborately decorated with thin ribbons of copper and other metals.   The use of wooden chests has a long history, going back to the times when caravans crossed the desert carrying goods for trade.  In Uzbekistan, bedding, clothing and jewelry are stored in large wooden chests. Chests have been an irreplaceable feature of Uzbek households for thousands of years. Bakhtiyor plans to pass his craft on to his children.
Farkhod Ramazonov and Mukhabbat Kuchkoraova		Uzbekistan	Textiles	Embroidered Suzani, Coats and Boots		2014, 2015	104				Farkhod Ramazonov and Mukhabbat Kuchkoraova design and embroider suzanis, coats, and boots in designs unique to the Shafirkon district, near Bukhara city, Uzbekistan. Their grandmothers were designers and drawers of suzani patterns, as well as talented embroiderers who produced extensive textile dowries for their marriages. This husband and wife team has collaborated with regional and national museums in drawing on 19th Century Shafirkon suzani collections for design inspiration. They have received numerous awards for their colorful Uzbek textiles. Today, Farkhod and Mukhabbat’s five daughters have joined their parents as they work together in their embroidery center.
Fattillo Kendjaev and Firuza Khamraeva	Bukhara school of Carpet Weaving	Uzbekistan	Textiles	Silk and wool carpets		2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015	47				After graduating from the School of Art at Bukhara University, Fatullo was drawn to silk carpet designs from the Timurid Era (1370-1507), one of Islamic Art’s most brilliant periods. When he learned many old patterns had been lost, he copied carpet designs depicted in antique miniature paintings and recreated them with traditional weaving methods and natural dyes. Firuza Khamraeva, Fatullo’s wife, is also a master weaver and dyer. She works with Fatullo at his Carpet Weaving Training School teaching weaving and develops designs as well as assists with dyeing. In addition, Firuza is a master of suzani embroidery. UNESCO Award of Excellence Winner.
Ikbol Sokhibov		Uzbekistan	Textiles	Rugs - Carpets and tribal rugs, natural dyes, wool, silk and cotton		2015	129				Ikbol comes from a family of tribal carpet weavers. Beginning at age 12, he studied first with his father. Later, during a four-year apprenticeship with a great master weaver, he advanced his skills in weaving and studied designs of tribal rugs and ancient Bukhara carpets from the 15th and 16th centuries. Ikbol’s carpets tare woven by hand from natural dyed wool, cotton, and silk yarns in his family’s workshop. He is sharing the art with his children and has student apprentices in his workshop as well. Ikbol has exhibited his carpets in numerous exhibitions in Central Asian countries.
Izzatillo Ruziev		Uzbekistan	Jewelry	Bukhara silver and gold enameled jewelry with precious and semi-precious stones		2007, 2009, 2010, 2012 2014, 2015	50				Izzatillo’s necklaces, bracelets, rings, pendants and earrings feature the elaborate styles and designs of the renowned Bukhara tradition of Central Asia. Working in a range of techniques – molding or imprinting, filigree, embossing, forging, and engraving, Izzatillo combines gold, silver, and other metals with semiprecious stones to create jewelry that continues centuries of fine craftsmanship. Apprenticed at a young age to a master goldsmith, he was schooled in the molding, forging, and gem incrustation techniques commonly used in 19th century Bukhara. Recently, Izzatillo has been involved in a project focused on reviving jewelry-making techniques from the 16th and 17th centuries.
Mukhayyo Aliyeva		Uzbekistan	Textiles	Traditional clothing - Ikat clothing and accessories		2013, 2014, 2015	17				Mukhayyo revives forgotten Uzbek Ikat patterns in traditional clothes made with local and natural materials. Her passion for clothing began at a young age, watching her sister go through tailoring school and learning how to stitch beside her. She fell in love with traditional Uzbek clothing and textiles and for years she researched old photographs and looked through museum collections to find a way to best recreate and revive the style. This clothing was once only worn for special occasions and otherwise considered costume-like, but in recent years the style has now become popular as clothes for daily life.
Otabek Karomativich Mukimov		Uzbekistan	Other (Musical Instruments)	Musical instruments		2015	131				Otabek is a recognized musical instrument maker. The woods he uses have to be dried for at least six years and each instrument is made entirely by hand. They can take many different forms and sounds, and may be carved and inlaid with mother of pearl or metal.  Although they are functional instruments, they are treated as works of art. He began learning the art from his father at age 10 and now has his own workshop and is passing his knowledge on to his children. His work can be seen in the Musical Instrument Museum in Phoenix and in museums in Spain and Germany.
Radjab Khayotov		Uzbekistan	Painting	Lacquer painting		2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015	113				Radjab is a woodworking master recognized for his wonderfully carved and intricate lacquer painted chess sets, tables and boxes. He learned the tradition from his father, a master of making traditional cradles and painted dowry boxes in Bukhara. The lacquer painting often depicts local people, traditional floral patterns and birds.
Rasuljon Mirzaakhmedov	 	Uzbekistan	Textiles	Woven silk and Ikat clothing and home accessories		2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015	51				Rasuljon has created ikat cloth for international designers to use in their yearly collections and in 2005 his work was awarded a Seal of Excellence by UNESCO. He has authored a book on natural dyes.
Shavkiddin Kamalov		Uzbekistan	Metalwork	Metalwork (Blacksmith  crafts)		2008, 2009, 2011, 2015	91				Radjab works and teaches alongside fellow craftsmen of the “Kharrot” group to revive the ancient art of Uzbek culture. His work has received the UNESCO Seal of Excellence for Handicraft Products in Central Asia. He produces unique items including distinctive scissors still used by gold embroiderers in their work today, embellished knives using technology dating back to the 14th century, unique forged candlesticks and statues. He has competed in worldwide competitions for Blacksmiths and ranks high amongst them.
